nombre_comuna;barrio
COMUNA OLIMPICA;CA„AVERAL II
COMUNA OLIMPICA;EL CAMPIN I
COMUNA OLIMPICA;EL CAMPIN II
COMUNA OLIMPICA;EL CAMPIN III
COMUNA OLIMPICA;EL PALMAR
COMUNA OLIMPICA;EL PIZAMO
COMUNA UNIVERSIDAD;PINARES
COMUNA UNIVERSIDAD;SECTOR AVENIDA CIRCUNVALAR
COMUNA UNIVERSIDAD;CIRCUNVALAR
COMUNA UNIVERSIDAD;BOSQUES DE CANAAN
COMUNA UNIVERSIDAD;TERMINAL
COMUNA UNIVERSIDAD;POPULAR MODELO
COMUNA UNIVERSIDAD;LOS ROSALES
COMUNA UNIVERSIDAD;LA AURORA
COMUNA UNIVERSIDAD;SAN JOSE SUR
COMUNA UNIVERSIDAD;SAN JOSE
COMUNA UNIVERSIDAD;LA JULIA
COMUNA UNIVERSIDAD;LOS ALPES
COMUNA UNIVERSIDAD;LA ENSE„ANZA
COMUNA UNIVERSIDAD;CAMBULOS
COMUNA UNIVERSIDAD;PINARES DE SAN MARTIN
COMUNA UNIVERSIDAD;QUINTANAR DEL CERRO
COMUNA UNIVERSIDAD;LOS ANGELES
COMUNA UNIVERSIDAD;LA JULITA
COMUNA UNIVERSIDAD;ALAMOS
COMUNA UNIVERSIDAD;CIUDAD JARDIN
COMUNA UNIVERSIDAD;CANAAN
COMUNA UNIVERSIDAD;FAVI UTP
COMUNA UNIVERSIDAD;LA SIERRA
COMUNA UNIVERSIDAD;LA PARCELA
COMUNA UNIVERSIDAD;PUERTA DE ABACANTO
COMUNA UNIVERSIDAD;EL BOSQUE
COMUNA UNIVERSIDAD;ALTOS DE CANNAN
COMUNA UNIVERSIDAD;LA MINA
COMUNA RIO OTUN;AMERICA
COMUNA RIO OTUN;BAVARIA
COMUNA RIO OTUN;BYRON GAVIRIA
COMUNA RIO OTUN;CAMPI„A DEL OTUN
COMUNA RIO OTUN;COLINAS DEL TRIUNFO
COMUNA RIO OTUN;CONSTRUCTORES
COMUNA RIO OTUN;EL PRADO
COMUNA RIO OTUN;EL PROGRESO
COMUNA RIO OTUN;EL TRIUNFO
COMUNA RIO OTUN;ENRIQUE MILLAN RUBIO
COMUNA RIO OTUN;GETSEMANI
COMUNA RIO OTUN;GUALANDAY
COMUNA RIO OTUN;JORGE ELIECER GAITAN
COMUNA RIO OTUN;JOSE ANTONIO GALAN
COMUNA RIO OTUN;JOSE MARTI
COMUNA RIO OTUN;LA ESPERANZA
COMUNA RIO OTUN;LA PALMERA
COMUNA RIO OTUN;LA SIRENA
COMUNA RIO OTUN;LAS PALMAS
COMUNA RIO OTUN;LOS ALCAZARES
COMUNA RIO OTUN;MIRASON
COMUNA RIO OTUN;NUEVO PE„OL
COMUNA RIO OTUN;PRIMERO DE MAYO
COMUNA RIO OTUN;REMIGIO ANTONIO CA„ARTE
COMUNA RIO OTUN;RISARALDA
COMUNA RIO OTUN;SALAZAR LONDO„O
COMUNA RIO OTUN;SALAZAR ROBLEDO
COMUNA RIO OTUN;SALVADOR ALLENDE
COMUNA RIO OTUN;SAN ANTONIO
COMUNA RIO OTUN;SAN CAMILO
COMUNA RIO OTUN;SAN JORGE
COMUNA RIO OTUN;SAN JUAN
COMUNA RIO OTUN;SAN JUAN DE DIOS
COMUNA RIO OTUN;SANTA ELENA
COMUNA RIO OTUN;SANTA TERESITA
COMUNA RIO OTUN;ZEA
COMUNA CUBA;LA PLAYITA
COMUNA CUBA;BRISAS DEL CONSOTA
COMUNA CUBA;CORTES
COMUNA CUBA;SAN FERNANDO
COMUNA CUBA;LA INDEPENDENCIA
COMUNA CUBA;LA UNION
COMUNA CUBA;BARBEROS
COMUNA CUBA;CORTES
COMUNA CUBA;RAFAEL URIBE I
COMUNA CUBA;CUBA
